  1  x,y,z     1           1  0  0  0  1  0  0  0  1
  2  -x,-y,z   2_001      -1  0  0  0 -1  0  0  0  1
  3  -x,y,-z   2_010      -1  0  0  0  1  0  0  0 -1
  4  x,-y,-z   2_100       1  0  0  0 -1  0  0  0 -1
  5  z,x,y     3^+_111     0  0  1  1  0  0  0  1  0
  6  z,-x,-y   3^+_-11-1   0  0  1 -1  0  0  0 -1  0
  7  -z,-x,y   3^+_1-1-1   0  0 -1 -1  0  0  0  1  0
  8  -z,x,-y   3^+_-1-11   0  0 -1  1  0  0  0 -1  0
  9  y,z,x     3^-_111     0  1  0  0  0  1  1  0  0
 10  -y,z,-x   3^-_1-1-1   0 -1  0  0  0  1 -1  0  0
 11  y,-z,-x   3^-_-1-11   0  1  0  0  0 -1 -1  0  0
 12  -y,-z,x   3^-_-11-1   0 -1  0  0  0 -1  1  0  0
 13  y,x,-z    2_110       0  1  0  1  0  0  0  0 -1
 14  -y,-x,-z  2_1-10      0 -1  0 -1  0  0  0  0 -1
 15  y,-x,z    4^-_001     0  1  0 -1  0  0  0  0  1
 16  -y,x,z    4^+_001     0 -1  0  1  0  0  0  0  1
 17  x,z,-y    4^-_100     1  0  0  0  0  1  0 -1  0
 18  -x,z,y    2_011      -1  0  0  0  0  1  0  1  0
 19  -x,-z,-y  2_01-1     -1  0  0  0  0 -1  0 -1  0
 20  x,-z,y    4^+_100     1  0  0  0  0 -1  0  1  0
 21  z,y,-x    4^+_010     0  0  1  0  1  0 -1  0  0
 22  z,-y,x    2_101       0  0  1  0 -1  0  1  0  0
 23  -z,y,x    4^-_010     0  0 -1  0  1  0  1  0  0
 24  -z,-y,-x  2_-101      0  0 -1  0 -1  0 -1  0  0
 25  -x,-y,-z  -1         -1  0  0  0 -1  0  0  0 -1
 26  x,y,-z    m_001       1  0  0  0  1  0  0  0 -1
 27  x,-y,z    m_010       1  0  0  0 -1  0  0  0  1
 28  -x,y,z    m_100      -1  0  0  0  1  0  0  0  1
 29  -z,-x,-y  -3^+_111    0  0 -1 -1  0  0  0 -1  0
 30  -z,x,y    -3^+_-11-1  0  0 -1  1  0  0  0  1  0
 31  z,x,-y    -3^+_1-1-1  0  0  1  1  0  0  0 -1  0
 32  z,-x,y    -3^+_-1-11  0  0  1 -1  0  0  0  1  0
 33  -y,-z,-x  -3^-_111    0 -1  0  0  0 -1 -1  0  0
 34  y,-z,x    -3^-_1-1-1  0  1  0  0  0 -1  1  0  0
 35  -y,z,x    -3^-_-1-11  0 -1  0  0  0  1  1  0  0
 36  y,z,-x    -3^-_-11-1  0  1  0  0  0  1 -1  0  0
 37  -y,-x,z   m_110       0 -1  0 -1  0  0  0  0  1
 38  y,x,z     m_1-10      0  1  0  1  0  0  0  0  1
 39  -y,x,-z   -4^-_001    0 -1  0  1  0  0  0  0 -1
 40  y,-x,-z   -4^+_001    0  1  0 -1  0  0  0  0 -1
 41  -x,-z,y   -4^-_100   -1  0  0  0  0 -1  0  1  0
 42  x,-z,-y   m_011       1  0  0  0  0 -1  0 -1  0
 43  x,z,y     m_01-1      1  0  0  0  0  1  0  1  0
 44  -x,z,-y   -4^+_100   -1  0  0  0  0  1  0 -1  0
 45  -z,-y,x   -4^+_010    0  0 -1  0 -1  0  1  0  0
 46  -z,y,-x   m_101       0  0 -1  0  1  0 -1  0  0
 47  z,-y,-x   -4^-_010    0  0  1  0 -1  0 -1  0  0
 48  z,y,x     m_-101      0  0  1  0  1  0  1  0  0
